x,y
1207.811279296875,437.7278137207031
,
,
,
,
,
,
,
,
1193.199462890625,400.25299072265625
1193.255126953125,400.7783203125
1193.192626953125,400.7721862792969
1192.811279296875,400.7767639160156
,
,
,
,
,
,
1140.389404296875,367.4103698730469
1141.0848388671875,371.98260498046875
1140.46826171875,382.4733581542969
1141.5390625,387.5246887207031
1141.190185546875,391.4664001464844
1141.192626953125,391.47265625
1142.816650390625,395.7518005371094
1143.8658447265625,399.411376953125
1145.15673828125,401.93310546875
1144.61279296875,404.9951477050781
1145.239501953125,407.6861572265625
1145.1446533203125,407.898193359375
1145.316162109375,410.4814453125
1146.97998046875,414.04302978515625
1147.03515625,418.0361022949219
1147.035888671875,417.966064453125
1146.76611328125,418.8722839355469
1147.7802734375,420.39605712890625
1148.008544921875,421.9792785644531
1147.82763671875,420.52825927734375
1147.831298828125,420.5768737792969
1148.297119140625,423.1468505859375
1147.3079833984375,425.603759765625
1149.16064453125,420.2242126464844
1148.8603515625,422.6525573730469
1149.273681640625,431.6521911621094
1149.2734375,431.6572570800781
1149.988525390625,434.30841064453125
1148.35498046875,437.90899658203125
1149.3885498046875,440.1141357421875
1149.38427734375,440.11993408203125
1154.419921875,443.84710693359375
1154.150146484375,444.1207580566406
1153.926025390625,446.7195739746094
1150.7537841796875,448.84991455078125
1151.797119140625,447.6387939453125
1151.796142578125,447.6202697753906
1151.8115234375,450.7848815917969
1153.492919921875,455.8255310058594
1153.5545654296875,456.3468933105469
1153.557861328125,456.20928955078125
1151.4371337890625,460.1289367675781
1155.918701171875,466.8082580566406
1155.435302734375,469.1454162597656
1154.978271484375,469.39208984375
1154.4569091796875,472.4034118652344
1154.462890625,472.4070739746094
1154.386474609375,471.3516845703125
,
1154.880615234375,479.35211181640625
1155.625732421875,481.7460021972656
1155.624755859375,481.7449951171875
1155.9398193359375,484.1699523925781
1156.2919921875,487.9623718261719
1156.25927734375,491.6485290527344
1156.25927734375,491.6677551269531
1155.5906982421875,492.4815673828125
1157.37451171875,495.3833312988281
1157.482421875,497.5333557128906
1156.8330078125,502.97113037109375
1156.80419921875,503.2164001464844
1156.77197265625,506.4990234375
1159.14111328125,509.9828796386719
1158.87353515625,512.8193359375
1158.630859375,516.7361450195312
1158.651611328125,516.7105102539062
1160.999755859375,518.78564453125
1161.591552734375,526.4502563476562
1163.892333984375,531.287353515625
1163.436767578125,534.4314575195312
1163.4434814453125,534.4302978515625
1163.335693359375,538.3329467773438
1165.1087646484375,539.2185668945312
1164.564697265625,540.1338500976562
1163.9825439453125,551.2224731445312
