x,y
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1038.878662109375,275.3716735839844
1039.0302734375,275.4353332519531
1279.31201171875,376.688232421875
,
,
,
,
1276.2462158203125,303.0718994140625
1276.34619140625,303.1165771484375
,
,
,
,
1283.420654296875,364.0511474609375
1275.282958984375,426.9495849609375
,
,
1254.836669921875,538.0255737304688
1241.1876220703125,628.8526000976562
1237.357421875,675.9464721679688
1235.6990966796875,705.5745849609375
1235.6695556640625,705.4796142578125
1237.1104736328125,710.9218139648438
,
1237.21875,716.2555541992188
1236.9462890625,716.1473388671875
1236.9814453125,716.379638671875
1237.2064208984375,716.2482299804688
1236.9090576171875,713.6722412109375
1237.013427734375,711.2981567382812
1236.62158203125,713.075927734375
1236.6097412109375,713.4258422851562
1236.4747314453125,713.846923828125
1225.9742431640625,714.8018188476562
1218.1083984375,708.7548217773438
,
,
,
1134.701416015625,668.6721801757812
1094.251953125,650.1923217773438
